dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_100,rbf,0.1,0.01,,1000,0.5144436461851001,0.7155192869249731,97.83251227997243
pca_100,rbf,0.1,0.1,,1000,0.5064271229784936,0.7138415961526334,103.81817025505006
pca_100,rbf,0.1,1,,1000,0.5141435638070107,0.7120634722523391,116.06193273095414
pca_100,rbf,0.1,10,,1000,0.47534236614592373,0.7178046018816531,105.08759558200836
pca_100,rbf,0.1,100,,1000,0.4751250557601452,0.71064079599455,105.59250184008852
pca_100,rbf,0.1,1000,,1000,0.4768866191152483,0.7126104272902012,104.24960652203299
pca_100,rbf,1,0.001,,1000,0.47515858989208937,0.7165635440032929,42.20941692800261
pca_100,rbf,1,0.01,,1000,0.4769395289476961,0.7117914301343262,88.54277686891146
pca_100,rbf,1,0.1,,1000,0.4781615477986634,0.7140947550069541,110.7630611481145
pca_100,rbf,1,1,,1000,0.4764440271537751,0.7175949609372765,116.03623733413406
pca_100,rbf,1,10,,1000,0.47692080307751894,0.7150847860611975,105.04090332100168
pca_100,rbf,1,100,,1000,0.47637166804634035,0.713178067933768,105.11295621911995
pca_100,rbf,1,1000,,1000,0.4765811008401215,0.7116373612079769,109.51045069494285
pca_100,rbf,10,0.001,,1000,0.4746214000042528,0.7151984840165824,27.343822486931458
pca_100,rbf,10,0.01,,1000,0.4743123999796808,0.7132390839979053,89.42679549497552
pca_100,rbf,10,0.1,,1000,0.48750914190895855,0.7152752799447626,102.76592831197195
pca_100,rbf,10,1,,1000,0.4834836171939969,0.7094281001482159,118.98028903501108
pca_100,rbf,10,10,,1000,0.47509069298394024,0.7148571538273245,107.19365621800534
pca_100,rbf,10,100,,1000,0.47545989393256605,0.7130862968042493,110.47053580195643
pca_100,rbf,10,1000,,1000,0.47667527198791504,0.7119588318746537,103.90213494980708
pca_100,rbf,100,0.001,,1000,0.4747643619775772,0.7101856200024486,24.17857073689811
pca_100,rbf,100,0.01,,1000,0.4750493220053613,0.726021088892594,88.60186434397474
pca_100,rbf,100,0.1,,1000,0.4983872249722481,0.7148408300708979,102.8298553249333
pca_100,rbf,100,1,,1000,0.485395205905661,0.7111260141246021,115.68216543202288
pca_100,rbf,100,10,,1000,0.47657092683948576,0.728088054805994,104.42099967296235
pca_100,rbf,100,100,,1000,0.47597716795280576,0.7189859861973673,103.83192288200371
pca_100,rbf,100,1000,,1000,0.47585011599585414,0.7137071748729795,104.05331625207327
pca_100,rbf,1000,0.001,,1000,0.474722727201879,0.7089051562361419,23.26742771686986
pca_100,rbf,1000,0.01,,1000,0.473363725701347,0.7129824778530747,87.37788424803875
