dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_200,rbf,10,0.1,,1000,0.4804493929259479,0.8445294010452926,145.2243032711558
pca_200,rbf,10,1,,1000,0.48498431988991797,0.841904282104224,158.794911126839
pca_200,rbf,10,10,,1000,0.4845732250250876,0.8456495408900082,147.33003921993077
pca_200,rbf,10,100,,1000,0.4840504080057144,0.8453048127703369,147.13911174517125
pca_200,rbf,10,1000,,1000,0.48473423928953707,0.8392645069397986,147.3320264618378
pca_200,rbf,100,0.001,,1000,0.4841976477764547,0.8123859949409962,41.84632794116624
pca_200,rbf,100,0.01,,1000,0.48414511419832706,0.844424321083352,126.10474010393955
pca_200,rbf,100,0.1,,1000,0.4809591968078166,0.8481672680936754,145.17323389300145
pca_200,rbf,100,1,,1000,0.4842701239977032,0.8458314810413867,158.78610162297264
pca_200,rbf,100,10,,1000,0.4831552149262279,0.8514219850767404,147.1799718181137
pca_200,rbf,100,100,,1000,0.4855804599355906,0.8471367969177663,147.03662709589116
pca_200,rbf,100,1000,,1000,0.4845237771514803,0.8431899817660451,147.18943189899437
pca_200,rbf,1000,0.001,,1000,0.48363944189623,0.8437431310303509,41.6422749471385
pca_200,rbf,1000,0.01,,1000,0.486829006113112,0.8516411278396845,126.06750959297642
pca_200,rbf,1000,0.1,,1000,0.4805634750518948,0.8418018771335483,145.14127531601116
pca_200,rbf,1000,1,,1000,0.49189671501517296,0.844785860972479,158.69174725818448
pca_200,rbf,1000,10,,1000,0.48867304623126984,0.8434738018549979,147.2474402198568
pca_200,rbf,1000,100,,1000,0.4844894602429122,0.8414273462258279,147.07674483116716
pca_200,rbf,1000,1000,,1000,0.48337795096449554,0.8431516410782933,147.0813897610642
lda,rbf,0.001,0.001,,1000,0.5529652941040695,4.541379064088687,30.75252296193503
lda,rbf,0.001,0.01,,1000,0.48461728100664914,4.533268080092967,30.858804809860885
lda,rbf,0.001,0.1,,1000,0.48442352027632296,4.58050569309853,30.862658689031377
lda,rbf,0.001,1,,1000,0.4829174231272191,4.552291970001534,30.908999502891675
lda,rbf,0.001,10,,1000,0.4848408850375563,4.578804090153426,37.75231070606969
lda,rbf,0.001,100,,1000,0.4857147801667452,4.542225460987538,36.17385555407964
lda,rbf,0.001,1000,,1000,0.4848532290197909,4.518268608953804,31.199511861195788
lda,rbf,0.01,0.001,,1000,0.4825791800394654,4.534646075917408,30.88133511506021
lda,rbf,0.01,0.01,,1000,0.48295515100471675,4.576493585016578,23.65799937606789
lda,rbf,0.01,0.1,,1000,0.483332599978894,4.55285980575718,29.62621687189676
lda,rbf,0.01,1,,1000,0.48214903310872614,4.5616186237894,30.908143220003694
lda,rbf,0.01,10,,1000,0.4826848851516843,4.555569787975401,37.71766146598384
lda,rbf,0.01,100,,1000,0.482972898054868,4.57639881176874,36.279907126910985
lda,rbf,0.01,1000,,1000,0.48398828436620533,4.523584841983393,31.18397997505963
lda,rbf,0.1,0.001,,1000,0.4830338859464973,4.494273214833811,22.145649299025536
lda,rbf,0.1,0.01,,1000,0.4852093339432031,4.485916581004858,13.706342219840735
lda,rbf,0.1,0.1,,1000,0.4826529659330845,4.5370621278416365,15.534394162939861
lda,rbf,0.1,1,,1000,0.4835314229130745,4.496836772188544,30.901696445187554
lda,rbf,0.1,10,,1000,0.4840758468490094,4.479633839102462,37.65623976709321
lda,rbf,0.1,100,,1000,0.48321373714134097,4.515066270017996,36.26193750393577
lda,rbf,0.1,1000,,1000,0.48370525916107,4.497755438089371,31.180685054976493
lda,rbf,1,0.001,,1000,0.4825076686684042,4.464415999129415,13.465916851069778
lda,rbf,1,0.01,,1000,0.482970129000023,4.500242275185883,10.732491225935519
lda,rbf,1,0.1,,1000,0.4833790308330208,4.541893133893609,12.394686526153237
lda,rbf,1,1,,1000,0.485639241989702,4.512960253050551,29.304903520969674
lda,rbf,1,10,,1000,0.4845851850695908,4.561129272915423,37.461474301991984
lda,rbf,1,100,,1000,0.4854573199991137,4.563488813815638,36.330382253043354
